motif	tf	origin	gene_id	family	name	symbol	motif_tf
ENSMUSG00000068154_LINE774_Insm1_I	Insm1	CIS-BP	ENSMUSG00000068154	C2H2 ZF	NA	NA	NA
ENSMUSG00000068859_LINE776_Sp9_I	Sp9	CIS-BP	ENSMUSG00000068859	C2H2 ZF	NA	NA	NA
ENSMUSG00000070826_LINE795_Zscan4ps2_I	Zscan4-ps2	CIS-BP	ENSMUSG00000070826	NA	NA	NA	NA
ENSMUSG00000070828_LINE796_Zscan4f_I	Zscan4f	CIS-BP	ENSMUSG00000070828	C2H2 ZF	NA	NA	NA
ENSMUSG00000071341_LINE808_Egr4_I	Egr4	CIS-BP	ENSMUSG00000071341	C2H2 ZF	NA	NA	NA
ENSMUSG00000071661_LINE810_Zbtb3_D	Zbtb3	CIS-BP	ENSMUSG00000071661	C2H2 ZF	NA	NA	NA
ENSMUSG00000072294_LINE811_Klf12_D_N1	Klf12	CIS-BP	ENSMUSG00000072294	C2H2 ZF	NA	NA	NA
ENSMUSG00000073209_LINE821_Klf14_I	Klf14	CIS-BP	ENSMUSG00000073209	C2H2 ZF	NA	NA	NA
ENSMUSG00000075304_LINE853_Sp5_I	Sp5	CIS-BP	ENSMUSG00000075304	C2H2 ZF	NA	NA	NA
ENSMUSG00000075595_LINE855_Zfp652_D	Zfp652	CIS-BP	ENSMUSG00000075595	C2H2 ZF	NA	NA	NA
ENSMUSG00000079509_LINE916_Zfx_D_N1	Zfx	CIS-BP	ENSMUSG00000079509	C2H2 ZF	NA	NA	NA
ENSMUSG00000061911_LINE940_Myt1l_I	Myt1l	CIS-BP	ENSMUSG00000061911	C2HC ZF	NA	NA	NA
ENSMUSG00000023994_LINE941_Nfya_I	Nfya	CIS-BP	ENSMUSG00000023994	CBF/NF-Y	NA	NA	NA
ENSMUSG00000068267_LINE946_Cenpb_I	Cenpb	CIS-BP	ENSMUSG00000068267	CENPB	NA	NA	NA
ENSMUSG00000042589_LINE963_Cux2_I	Cux2	CIS-BP	ENSMUSG00000042589	CUT,Homeodomain	NA	NA	NA
ENSMUSG00000045518_LINE965_Onecut3_I	Onecut3	CIS-BP	ENSMUSG00000045518	CUT,Homeodomain	NA	NA	NA
ENSMUSG00000035310_LINE968_Lin54_I	Lin54	CIS-BP	ENSMUSG00000035310	TCR/CxC	NA	NA	NA
ENSMUSG00000024560_LINE972_Cxxc1_I	Cxxc1	CIS-BP	ENSMUSG00000024560	CxxC	NA	NA	NA
ENSMUSG00000024561_LINE973_Mbd1_D	Mbd1	CIS-BP	ENSMUSG00000024561	CxxC,MBD	NA	NA	NA
ENSMUSG00000029475_LINE974_Kdm2b_I	Kdm2b	CIS-BP	ENSMUSG00000029475	CxxC	NA	NA	NA
ENSMUSG00000011349_LINE979_Dmrtc2_D	Dmrtc2	CIS-BP	ENSMUSG00000011349	DM	NA	NA	NA
ENSMUSG00000024837_LINE980_Dmrt1_I	Dmrt1	CIS-BP	ENSMUSG00000024837	DM	NA	NA	NA
ENSMUSG00000042372_LINE982_Dmrt3_I	Dmrt3	CIS-BP	ENSMUSG00000042372	DM	NA	NA	NA
ENSMUSG00000043753_LINE983_Dmrta1_I	Dmrta1	CIS-BP	ENSMUSG00000043753	DM	NA	NA	NA
ENSMUSG00000048138_LINE985_Dmrt2_I	Dmrt2	CIS-BP	ENSMUSG00000048138	DM	NA	NA	NA
ENSMUSG00000032411_LINE986_Tfdp2_I	Tfdp2	CIS-BP	ENSMUSG00000032411	E2F	NA	NA	NA
ENSMUSG00000038482_LINE987_Tfdp1_I	Tfdp1	CIS-BP	ENSMUSG00000038482	E2F	NA	NA	NA
ENSMUSG00000014859_LINE988_E2f4_I	E2f4	CIS-BP	ENSMUSG00000014859	E2F	NA	NA	NA
ENSMUSG00000016477_LINE989_E2f3_D_N1	E2f3	CIS-BP	ENSMUSG00000016477	E2F	NA	NA	NA
ENSMUSG00000018983_LINE991_E2f2_D	E2f2	CIS-BP	ENSMUSG00000018983	E2F	NA	NA	NA
ENSMUSG00000020185_LINE992_E2f7_I	E2f7	CIS-BP	ENSMUSG00000020185	E2F	NA	NA	NA
ENSMUSG00000027490_LINE993_E2f1_I	E2f1	CIS-BP	ENSMUSG00000027490	E2F	NA	NA	NA
ENSMUSG00000027552_LINE994_E2f5_I	E2f5	CIS-BP	ENSMUSG00000027552	E2F	NA	NA	NA
ENSMUSG00000046179_LINE995_E2f8_I	E2f8	CIS-BP	ENSMUSG00000046179	E2F	NA	NA	NA
ENSMUSG00000057469_LINE996_E2f6_I	E2f6	CIS-BP	ENSMUSG00000057469	E2F	NA	NA	NA
ENSMUSG00000003051_LINE1001_Elf3_D_N2	Elf3	CIS-BP	ENSMUSG00000003051	Ets	NA	NA	NA
ENSMUSG00000003382_LINE1003_Etv3_D	Etv3	CIS-BP	ENSMUSG00000003382	Ets	NA	NA	NA
ENSMUSG00000004151_LINE1004_Etv1_D	Etv1	CIS-BP	ENSMUSG00000004151	Ets	NA	NA	NA
ENSMUSG00000004359_LINE1005_Spic_D_N1	Spic	CIS-BP	ENSMUSG00000004359	Ets	NA	NA	NA
ENSMUSG00000006311_LINE1007_Etv2_I	Etv2	CIS-BP	ENSMUSG00000006311	Ets	NA	NA	NA
ENSMUSG00000008193_LINE1008_Spib_I	Spib	CIS-BP	ENSMUSG00000008193	Ets	NA	NA	NA
ENSMUSG00000008398_LINE1009_Elk3_D_N2	Elk3	CIS-BP	ENSMUSG00000008398	Ets	NA	NA	NA
ENSMUSG00000008976_LINE1011_Gabpa_D_N3	Gabpa	CIS-BP	ENSMUSG00000008976	Ets	NA	NA	NA
ENSMUSG00000009406_LINE1014_Elk1_D	Elk1	CIS-BP	ENSMUSG00000009406	Ets	NA	NA	NA
ENSMUSG00000012350_LINE1015_Ehf_D_N2	Ehf	CIS-BP	ENSMUSG00000012350	Ets	NA	NA	NA
ENSMUSG00000013089_LINE1017_Etv5_D	Etv5	CIS-BP	ENSMUSG00000013089	Ets	NA	NA	NA
ENSMUSG00000016087_LINE1018_Fli1_D	Fli1	CIS-BP	ENSMUSG00000016087	Ets	NA	NA	NA
ENSMUSG00000017724_LINE1019_Etv4_D	Etv4	CIS-BP	ENSMUSG00000017724	Ets	NA	NA	NA
ENSMUSG00000024215_LINE1021_Spdef_D_N2	Spdef	CIS-BP	ENSMUSG00000024215	Ets	NA	NA	NA
ENSMUSG00000026436_LINE1023_Elk4_D	Elk4	CIS-BP	ENSMUSG00000026436	Ets	NA	NA	NA
ENSMUSG00000027186_LINE1024_Elf5_D_N2	Elf5	CIS-BP	ENSMUSG00000027186	Ets	NA	NA	NA
ENSMUSG00000030199_LINE1026_Etv6_D	Etv6	CIS-BP	ENSMUSG00000030199	Ets	NA	NA	NA
ENSMUSG00000031103_LINE1027_Elf4_D	Elf4	CIS-BP	ENSMUSG00000031103	Ets	NA	NA	NA
ENSMUSG00000032035_LINE1028_Ets1_D_N1	Ets1	CIS-BP	ENSMUSG00000032035	Ets	NA	NA	NA
ENSMUSG00000036461_LINE1030_Elf1_I	Elf1	CIS-BP	ENSMUSG00000036461	Ets	NA	NA	NA
ENSMUSG00000037174_LINE1031_Elf2_D	Elf2	CIS-BP	ENSMUSG00000037174	Ets	NA	NA	NA
ENSMUSG00000040732_LINE1032_Erg_D_N1	Erg	CIS-BP	ENSMUSG00000040732	Ets	NA	NA	NA
ENSMUSG00000040857_LINE1034_Erf_I	Erf	CIS-BP	ENSMUSG00000040857	Ets	NA	NA	NA
ENSMUSG00000055197_LINE1037_Fev_I	Fev	CIS-BP	ENSMUSG00000055197	Ets	NA	NA	NA
XP_9117244_LINE5773_Gm4881_I_N36	Gm4881	CIS-BP	XP	NA	NA	NA	NA
XP_9117244_LINE5785_Gm4881_I_N4	Gm4881	CIS-BP	XP	NA	NA	NA	NA
XP_9117244_LINE5816_Gm4881_I_N4	Gm4881	CIS-BP	XP	NA	NA	NA	NA
XP_9117244_LINE5798_Gm4881_I_N2	Gm4881	CIS-BP	XP	NA	NA	NA	NA
XP_9117244_LINE5827_Gm4881_I_N1	Gm4881	CIS-BP	XP	NA	NA	NA	NA
XP_9117244_LINE5828_Gm4881_I_N1	Gm4881	CIS-BP	XP	NA	NA	NA	NA
ENSMUSG00000003154_LINE1043_Foxj2_D_N2	Foxj2	CIS-BP	ENSMUSG00000003154	Forkhead	NA	NA	NA
ENSMUSG00000020950_LINE1044_Foxg1_D_N2	Foxg1	CIS-BP	ENSMUSG00000020950	Forkhead	NA	NA	NA
ENSMUSG00000023991_LINE1048_Foxp4_I	Foxp4	CIS-BP	ENSMUSG00000023991	Forkhead	NA	NA	NA
ENSMUSG00000029563_LINE1049_Foxp2_D	Foxp2	CIS-BP	ENSMUSG00000029563	Forkhead	NA	NA	NA
ENSMUSG00000030067_LINE1050_Foxp1_D	Foxp1	CIS-BP	ENSMUSG00000030067	Forkhead	NA	NA	NA
ENSMUSG00000032998_LINE1051_Foxj3_D_N3	Foxj3	CIS-BP	ENSMUSG00000032998	Forkhead	NA	NA	NA
ENSMUSG00000033837_LINE1060_Foxh1_I	Foxh1	CIS-BP	ENSMUSG00000033837	Forkhead	NA	NA	NA
ENSMUSG00000034227_LINE1061_Foxj1_D	Foxj1	CIS-BP	ENSMUSG00000034227	Forkhead	NA	NA	NA
ENSMUSG00000035451_LINE1065_Foxa1_I	Foxa1	CIS-BP	ENSMUSG00000035451	Forkhead	NA	NA	NA
ENSMUSG00000037025_LINE1066_Foxa2_D_N1	Foxa2	CIS-BP	ENSMUSG00000037025	Forkhead	NA	NA	NA
ENSMUSG00000038402_LINE1070_Foxf2_I	Foxf2	CIS-BP	ENSMUSG00000038402	Forkhead	NA	NA	NA
ENSMUSG00000038415_LINE1071_Foxq1_I	Foxq1	CIS-BP	ENSMUSG00000038415	Forkhead	NA	NA	NA
ENSMUSG00000039275_LINE1072_Foxk2_I	Foxk2	CIS-BP	ENSMUSG00000039275	Forkhead	NA	NA	NA
ENSMUSG00000039521_LINE1073_Foxp3_I	Foxp3	CIS-BP	ENSMUSG00000039521	Forkhead	NA	NA	NA
ENSMUSG00000042903_LINE1078_Foxo4_D	Foxo4	CIS-BP	ENSMUSG00000042903	Forkhead	NA	NA	NA
ENSMUSG00000044167_LINE1080_Foxo1_D_N2	Foxo1	CIS-BP	ENSMUSG00000044167	Forkhead	NA	NA	NA
ENSMUSG00000044518_LINE1081_Foxe3_I	Foxe3	CIS-BP	ENSMUSG00000044518	Forkhead	NA	NA	NA
ENSMUSG00000046714_LINE1082_Foxc2_D	Foxc2	CIS-BP	ENSMUSG00000046714	Forkhead	NA	NA	NA
ENSMUSG00000047861_LINE1083_Foxi1_I	Foxi1	CIS-BP	ENSMUSG00000047861	Forkhead	NA	NA	NA
ENSMUSG00000048377_LINE1084_Foxi2_I	Foxi2	CIS-BP	ENSMUSG00000048377	Forkhead	NA	NA	NA
ENSMUSG00000048756_LINE1085_Foxo3_D	Foxo3	CIS-BP	ENSMUSG00000048756	Forkhead	NA	NA	NA
ENSMUSG00000050295_LINE1086_Foxc1_D_N2	Foxc1	CIS-BP	ENSMUSG00000050295	Forkhead	NA	NA	NA
ENSMUSG00000052135_LINE1091_Foxo6_D	Foxo6	CIS-BP	ENSMUSG00000052135	Forkhead	NA	NA	NA
ENSMUSG00000055210_LINE1092_Foxd2_I	Foxd2	CIS-BP	ENSMUSG00000055210	Forkhead	NA	NA	NA
ENSMUSG00000055874_LINE1093_Foxi3_I	Foxi3	CIS-BP	ENSMUSG00000055874	Forkhead	NA	NA	NA
ENSMUSG00000056493_LINE1094_Foxk1_D_N2	Foxk1	CIS-BP	ENSMUSG00000056493	Forkhead	NA	NA	NA
ENSMUSG00000056829_LINE1099_Foxb2_I	Foxb2	CIS-BP	ENSMUSG00000056829	Forkhead	NA	NA	NA
ENSMUSG00000059246_LINE1100_Foxb1_D	Foxb1	CIS-BP	ENSMUSG00000059246	Forkhead	NA	NA	NA
ENSMUSG00000067261_LINE1101_Foxd3_I	Foxd3	CIS-BP	ENSMUSG00000067261	Forkhead	NA	NA	NA
ENSMUSG00000070990_LINE1102_Foxe1_I	Foxe1	CIS-BP	ENSMUSG00000070990	Forkhead	NA	NA	NA
ENSMUSG00000074676_LINE1105_Foxs1_I	Foxs1	CIS-BP	ENSMUSG00000074676	Forkhead	NA	NA	NA
ENSMUSG00000078302_LINE1106_Foxd1_D	Foxd1	CIS-BP	ENSMUSG00000078302	Forkhead	NA	NA	NA
NP_0011820571_LINE9929_Gm5294_I_N42	Gm5294	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0011820571_LINE9932_Gm5294_I_N10	Gm5294	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0011820571_LINE9884_Gm5294_I_N7	Gm5294	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0011820571_LINE9878_Gm5294_I_N2	Gm5294	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0011820571_LINE9832_Gm5294_I_N1	Gm5294	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0011820571_LINE9907_Gm5294_I_N1	Gm5294	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0011820571_LINE9913_Gm5294_I_N7	Gm5294	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0011820571_LINE9910_Gm5294_I_N5	Gm5294	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0011820571_LINE9844_Gm5294_I_N1	Gm5294	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0011820571_LINE9852_Gm5294_I_N1	Gm5294	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0011820571_LINE9851_Gm5294_I_N2	Gm5294	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0011820571_LINE9930_Gm5294_I_N3	Gm5294	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0011820571_LINE9891_Gm5294_I_N1	Gm5294	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0011820571_LINE9919_Gm5294_I_N2	Gm5294	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0011820571_LINE9848_Gm5294_I_N1	Gm5294	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0011820571_LINE9849_Gm5294_I_N1	Gm5294	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0011820571_LINE9858_Gm5294_I_N1	Gm5294	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0011820571_LINE9889_Gm5294_I_N1	Gm5294	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0011820571_LINE9899_Gm5294_I_N1	Gm5294	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0011820571_LINE9905_Gm5294_I_N1	Gm5294	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0011820571_LINE9922_Gm5294_I_N1	Gm5294	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0011820571_LINE9936_Gm5294_I_N1	Gm5294	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0011820571_LINE9940_Gm5294_I_N1	Gm5294	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0320502_LINE10059_Foxl1_I_N50	Foxl1	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0320502_LINE10066_Foxl1_I_N10	Foxl1	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0320502_LINE10009_Foxl1_I_N7	Foxl1	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0320502_LINE9950_Foxl1_I_N1	Foxl1	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0320502_LINE10036_Foxl1_I_N8	Foxl1	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0320502_LINE10003_Foxl1_I_N2	Foxl1	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0320502_LINE10030_Foxl1_I_N1	Foxl1	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0320502_LINE9965_Foxl1_I_N1	Foxl1	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0320502_LINE9973_Foxl1_I_N1	Foxl1	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0320502_LINE9964_Foxl1_I_N1	Foxl1	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0320502_LINE10033_Foxl1_I_N5	Foxl1	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0320502_LINE10052_Foxl1_I_N5	Foxl1	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0320502_LINE9972_Foxl1_I_N2	Foxl1	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0320502_LINE10046_Foxl1_I_N3	Foxl1	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0320502_LINE10051_Foxl1_I_N3	Foxl1	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0320502_LINE10016_Foxl1_I_N1	Foxl1	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0320502_LINE10042_Foxl1_I_N2	Foxl1	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0320502_LINE9969_Foxl1_I_N1	Foxl1	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0320502_LINE9970_Foxl1_I_N1	Foxl1	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0320502_LINE9979_Foxl1_I_N1	Foxl1	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0320502_LINE9995_Foxl1_I_N1	Foxl1	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0320502_LINE10014_Foxl1_I_N1	Foxl1	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0320502_LINE10028_Foxl1_I_N1	Foxl1	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0320502_LINE10045_Foxl1_I_N1	Foxl1	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0320502_LINE10070_Foxl1_I_N1	Foxl1	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0320502_LINE10074_Foxl1_I_N1	Foxl1	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0320502_LINE10076_Foxl1_I_N1	Foxl1	CIS-BP	NP	Forkhead	NA	NA	NA
NP_0320502_LINE10077_Foxl1_I_N1	Foxl1	CIS-BP	NP	Forkhead	NA	NA	NA
ENSMUSG00000005836_LINE1110_Gata6_D	Gata6	CIS-BP	ENSMUSG00000005836	GATA	NA	NA	NA
ENSMUSG00000015053_LINE1112_Gata2_I	Gata2	CIS-BP	ENSMUSG00000015053	GATA	NA	NA	NA
ENSMUSG00000015619_LINE1113_Gata3_D	Gata3	CIS-BP	ENSMUSG00000015619	GATA	NA	NA	NA
ENSMUSG00000015627_LINE1114_Gata5_D	Gata5	CIS-BP	ENSMUSG00000015627	GATA	NA	NA	NA
ENSMUSG00000021944_LINE1116_Gata4_D_N1	Gata4	CIS-BP	ENSMUSG00000021944	GATA	NA	NA	NA
ENSMUSG00000031162_LINE1118_Gata1_D	Gata1	CIS-BP	ENSMUSG00000031162	GATA	NA	NA	NA
ENSMUSG00000023333_LINE1127_Gcm1_D	Gcm1	CIS-BP	ENSMUSG00000023333	GCM	NA	NA	NA
ENSMUSG00000020656_LINE1130_Grhl1_I	Grhl1	CIS-BP	ENSMUSG00000020656	Grainyhead	NA	NA	NA
ENSMUSG00000000247_LINE1140_Lhx2_D	Lhx2	CIS-BP	ENSMUSG00000000247	Homeodomain	NA	NA	NA
ENSMUSG00000000690_LINE1141_Hoxb6_D	Hoxb6	CIS-BP	ENSMUSG00000000690	Homeodomain	NA	NA	NA
ENSMUSG00000000938_LINE1142_Hoxa10_D	Hoxa10	CIS-BP	ENSMUSG00000000938	Homeodomain	NA	NA	NA
ENSMUSG00000000942_LINE1144_Hoxa4_D	Hoxa4	CIS-BP	ENSMUSG00000000942	Homeodomain	NA	NA	NA
ENSMUSG00000001103_LINE1145_Sebox_D	Sebox	CIS-BP	ENSMUSG00000001103	Homeodomain	NA	NA	NA
ENSMUSG00000001493_LINE1146_Meox1_D	Meox1	CIS-BP	ENSMUSG00000001493	Homeodomain	NA	NA	NA
ENSMUSG00000001496_LINE1147_Nkx21_D	Nkx2-1	CIS-BP	ENSMUSG00000001496	Homeodomain	NA	NA	NA
ENSMUSG00000001504_LINE1148_Irx2_D	Irx2	CIS-BP	ENSMUSG00000001504	Homeodomain	NA	NA	NA
ENSMUSG00000001510_LINE1149_Dlx3_D	Dlx3	CIS-BP	ENSMUSG00000001510	Homeodomain	NA	NA	NA
ENSMUSG00000001566_LINE1150_Mnx1_D	Mnx1	CIS-BP	ENSMUSG00000001566	Homeodomain	NA	NA	NA
ENSMUSG00000001655_LINE1151_Hoxc13_D	Hoxc13	CIS-BP	ENSMUSG00000001655	Homeodomain	NA	NA	NA
ENSMUSG00000001656_LINE1152_Hoxc11_D	Hoxc11	CIS-BP	ENSMUSG00000001656	Homeodomain	NA	NA	NA
ENSMUSG00000001657_LINE1153_Hoxc8_D	Hoxc8	CIS-BP	ENSMUSG00000001657	Homeodomain	NA	NA	NA
ENSMUSG00000001661_LINE1154_Hoxc6_D	Hoxc6	CIS-BP	ENSMUSG00000001661	Homeodomain	NA	NA	NA
ENSMUSG00000001815_LINE1155_Evx2_D	Evx2	CIS-BP	ENSMUSG00000001815	Homeodomain	NA	NA	NA
ENSMUSG00000001819_LINE1156_Hoxd13_D_N3	Hoxd13	CIS-BP	ENSMUSG00000001819	Homeodomain	NA	NA	NA
ENSMUSG00000001823_LINE1159_Hoxd12_I	Hoxd12	CIS-BP	ENSMUSG00000001823	Homeodomain	NA	NA	NA
ENSMUSG00000005503_LINE1160_Evx1_D	Evx1	CIS-BP	ENSMUSG00000005503	Homeodomain	NA	NA	NA
ENSMUSG00000005917_LINE1161_Otx1_D_N2	Otx1	CIS-BP	ENSMUSG00000005917	Homeodomain	NA	NA	NA
ENSMUSG00000006200_LINE1164_Rhox6_D	Rhox6	CIS-BP	ENSMUSG00000006200	Homeodomain	NA	NA	NA
ENSMUSG00000006270_LINE1165_Vax1_D	Vax1	CIS-BP	ENSMUSG00000006270	Homeodomain	NA	NA	NA
ENSMUSG00000006705_LINE1167_Pknox1_D	Pknox1	CIS-BP	ENSMUSG00000006705	Homeodomain	NA	NA	NA
ENSMUSG00000007946_LINE1168_Phox2a_D	Phox2a	CIS-BP	ENSMUSG00000007946	Homeodomain	NA	NA	NA
ENSMUSG00000009739_LINE1170_Pou6f1_D_N2	Pou6f1	CIS-BP	ENSMUSG00000009739	Homeodomain,POU	NA	NA	NA
ENSMUSG00000012396_LINE1172_Nanog_D	Nanog	CIS-BP	ENSMUSG00000012396	Homeodomain	NA	NA	NA
ENSMUSG00000012520_LINE1173_Phox2b_D	Phox2b	CIS-BP	ENSMUSG00000012520	Homeodomain	NA	NA	NA
ENSMUSG00000014603_LINE1174_Alx3_D	Alx3	CIS-BP	ENSMUSG00000014603	Homeodomain	NA	NA	NA
ENSMUSG00000014704_LINE1175_Hoxa2_D_N2	Hoxa2	CIS-BP	ENSMUSG00000014704	Homeodomain	NA	NA	NA
ENSMUSG00000015579_LINE1177_Nkx25_D_N1	Nkx2-5	CIS-BP	ENSMUSG00000015579	Homeodomain	NA	NA	NA
ENSMUSG00000018698_LINE1181_Lhx1_D	Lhx1	CIS-BP	ENSMUSG00000018698	Homeodomain	NA	NA	NA
ENSMUSG00000018973_LINE1182_Hoxb1_I	Hoxb1	CIS-BP	ENSMUSG00000018973	Homeodomain	NA	NA	NA
ENSMUSG00000019230_LINE1183_Lhx9_D	Lhx9	CIS-BP	ENSMUSG00000019230	Homeodomain	NA	NA	NA
ENSMUSG00000020160_LINE1184_Meis1_D_N2	Meis1	CIS-BP	ENSMUSG00000020160	Homeodomain	NA	NA	NA
ENSMUSG00000020679_LINE1186_Hnf1b_D	Hnf1b	CIS-BP	ENSMUSG00000020679	Homeodomain	NA	NA	NA
ENSMUSG00000020871_LINE1187_Dlx4_D	Dlx4	CIS-BP	ENSMUSG00000020871	Homeodomain	NA	NA	NA
ENSMUSG00000020875_LINE1188_Hoxb9_I	Hoxb9	CIS-BP	ENSMUSG00000020875	Homeodomain	NA	NA	NA
ENSMUSG00000021095_LINE1189_Gsc_D	Gsc	CIS-BP	ENSMUSG00000021095	Homeodomain	NA	NA	NA
ENSMUSG00000021099_LINE1190_Six6_D_N1	Six6	CIS-BP	ENSMUSG00000021099	Homeodomain	NA	NA	NA
ENSMUSG00000021239_LINE1192_Vsx2_I	Vsx2	CIS-BP	ENSMUSG00000021239	Homeodomain	NA	NA	NA
ENSMUSG00000021381_LINE1193_Barx1_D	Barx1	CIS-BP	ENSMUSG00000021381	Homeodomain	NA	NA	NA
ENSMUSG00000021469_LINE1194_Msx2_D	Msx2	CIS-BP	ENSMUSG00000021469	Homeodomain	NA	NA	NA
ENSMUSG00000021506_LINE1195_Pitx1_D	Pitx1	CIS-BP	ENSMUSG00000021506	Homeodomain	NA	NA	NA
ENSMUSG00000021604_LINE1196_Irx4_D	Irx4	CIS-BP	ENSMUSG00000021604	Homeodomain	NA	NA	NA
ENSMUSG00000021685_LINE1197_Otp_D	Otp	CIS-BP	ENSMUSG00000021685	Homeodomain	NA	NA	NA
ENSMUSG00000021848_LINE1198_Otx2_D	Otx2	CIS-BP	ENSMUSG00000021848	Homeodomain	NA	NA	NA
ENSMUSG00000021972_LINE1199_Hmbox1_D	Hmbox1	CIS-BP	ENSMUSG00000021972	Homeodomain	NA	NA	NA
ENSMUSG00000022061_LINE1201_Nkx31_D_N2	Nkx3-1	CIS-BP	ENSMUSG00000022061	Homeodomain	NA	NA	NA
ENSMUSG00000022484_LINE1203_Hoxc10_D_N1	Hoxc10	CIS-BP	ENSMUSG00000022484	Homeodomain	NA	NA	NA
ENSMUSG00000022485_LINE1206_Hoxc5_D	Hoxc5	CIS-BP	ENSMUSG00000022485	Homeodomain	NA	NA	NA
ENSMUSG00000022738_LINE1207_Gsc2_I	Gsc2	CIS-BP	ENSMUSG00000022738	Homeodomain	NA	NA	NA
ENSMUSG00000023391_LINE1210_Dlx2_D_N2	Dlx2	CIS-BP	ENSMUSG00000023391	Homeodomain	NA	NA	NA
ENSMUSG00000023443_LINE1211_Esx1_D	Esx1	CIS-BP	ENSMUSG00000023443	Homeodomain	NA	NA	NA
ENSMUSG00000024134_LINE1212_Six2_D	Six2	CIS-BP	ENSMUSG00000024134	Homeodomain	NA	NA	NA
ENSMUSG00000024497_LINE1213_Pou4f3_D	Pou4f3	CIS-BP	ENSMUSG00000024497	Homeodomain,POU	NA	NA	NA
ENSMUSG00000024518_LINE1214_Rax_D	Rax	CIS-BP	ENSMUSG00000024518	Homeodomain	NA	NA	NA
ENSMUSG00000024619_LINE1215_Cdx1_D	Cdx1	CIS-BP	ENSMUSG00000024619	Homeodomain	NA	NA	NA
ENSMUSG00000024986_LINE1216_Hhex_I	Hhex	CIS-BP	ENSMUSG00000024986	Homeodomain	NA	NA	NA
ENSMUSG00000025215_LINE1217_Tlx1_I	Tlx1	CIS-BP	ENSMUSG00000025215	Homeodomain	NA	NA	NA
ENSMUSG00000025216_LINE1218_Lbx1_I	Lbx1	CIS-BP	ENSMUSG00000025216	Homeodomain	NA	NA	NA
ENSMUSG00000025229_LINE1219_Pitx3_D	Pitx3	CIS-BP	ENSMUSG00000025229	Homeodomain	NA	NA	NA
ENSMUSG00000025469_LINE1222_Msx3_D_N2	Msx3	CIS-BP	ENSMUSG00000025469	Homeodomain	NA	NA	NA
ENSMUSG00000026468_LINE1223_Lhx4_D_N2	Lhx4	CIS-BP	ENSMUSG00000026468	Homeodomain	NA	NA	NA
ENSMUSG00000026586_LINE1226_Prrx1_D	Prrx1	CIS-BP	ENSMUSG00000026586	Homeodomain	NA	NA	NA
ENSMUSG00000026686_LINE1227_Lmx1a_D	Lmx1a	CIS-BP	ENSMUSG00000026686	Homeodomain	NA	NA	NA
ENSMUSG00000026805_LINE1228_Barhl1_D_N3	Barhl1	CIS-BP	ENSMUSG00000026805	Homeodomain	NA	NA	NA
