gene	category	support	literature
Ddx6	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Rora	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Peg3	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_TARGETS_10HR_DN
Chodl	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Rgs4	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Cdo1	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Ifi44	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Atrx	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Nnat	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Srpk2	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Sema3b	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Ptk7	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Slc14a1	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_TARGETS_10HR_DN
Nrep	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP,KARLSSON_TGFB1_TARGETS_DN,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,
Fgf7	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP,PLASARI_TGFB1_TARGETS_10HR_DN
Aif1l	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Epha4	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Cyp2j6	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Gpm6b	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Steap2	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Orai2	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Adgrg6	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP,PLASARI_TGFB1_TARGETS_10HR_DN
Pdk4	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP,PLASARI_TGFB1_TARGETS_10HR_DN
Unc5c	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP,PLASARI_TGFB1_TARGETS_10HR_DN
C1s1	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Cpxm1	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Ano1	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Stk26	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Plscr2	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP,PLASARI_TGFB1_TARGETS_10HR_DN
Celsr3	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Gjb4	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Gvin1	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Il18rap	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Sema3c	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Mpzl2	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Cd38	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Slmap	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Arc	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP,PLASARI_TGFB1_TARGETS_10HR_UP
Serpina3g	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Fas	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Enpp5	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Plekhh2	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP,PLASARI_TGFB1_TARGETS_10HR_DN
Csf1	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Epha7	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP,PLASARI_TGFB1_TARGETS_10HR_DN
Irag1	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Plscr1	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Pierce1	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Sparcl1	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Olr1	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP,PLASARI_TGFB1_TARGETS_10HR_UP
F3	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP,
Xrn1	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Il1rap	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Vcam1	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP,PLASARI_TGFB1_TARGETS_10HR_DN
Itga1	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Tbx3	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Otulinl	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN
Rab3il1	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN
Celf2	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN,PLASARI_TGFB1_TARGETS_10HR_DN
Stc2	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN
Hey1	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN,PLASARI_TGFB1_TARGETS_10HR_UP
Ptpn18	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN
Phip	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN,PLASARI_TGFB1_TARGETS_10HR_DN
Slc37a2	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN
Zfp781	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN
AI467606	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN
Nnmt	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN
Acan	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN
Lss	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN
Lyl1	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN
Mafb	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN
Aldh1a3	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN,PLASARI_TGFB1_TARGETS_10HR_UP
1810014B01Rik	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN
Fam111a	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN
Mcf2l	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN
Scd1	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN
Ccn5	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN
Dock2	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN
Mapk3	ligand	MSigDB	,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,
Skil	ligand,inhibitor,target gene	MSigDB	,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,,GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,
Smad7	inhibitor,SMAD2.3.4,ligand,target gene,activated,coreceptor	MSigDB	,REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,PLASARI_TGFB1_TARGETS_1HR_UP,GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,GOMF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_BINDING,GOMF_TYPE_I_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_BINDING,
Ep300	target gene,tgfb activation	MSigDB	,,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,GOBP_POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS
Map3k7	target gene	MSigDB	,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,
Sp1	ligand	MSigDB	,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
Arhgef18	target gene,ligand	MSigDB	,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
Ube2m	SMAD2.3.4,ligand	MSigDB	,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
Pard6a	target gene,ligand	MSigDB	,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
Rhoa	target gene,ligand	MSigDB	,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,
Ubc	inhibitor,SMAD2.3.4,target gene,ligand	MSigDB	,REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
Cdk9	ligand	MSigDB	,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,
Nedd8	SMAD2.3.4,ligand	MSigDB	,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
Ccnt1	ligand	MSigDB	,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
E2f4	ligand	MSigDB	,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
Atp1b4	ligand	MSigDB	,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
Smurf2	inhibitor,SMAD2.3.4,ligand,target gene,coreceptor	MSigDB	,REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,GOMF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_BINDING,
Mtmr4	inhibitor,SMAD2.3.4,ligand,target gene	MSigDB	,REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA
Ubb	inhibitor,SMAD2.3.4,target gene,ligand	MSigDB	,REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
Ube2d1	ligand	MSigDB	,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,
Rps27a	inhibitor,SMAD2.3.4,target gene,ligand	MSigDB	,REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
Ppm1a	ligand,inhibitor,target gene	MSigDB	,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,
Ccnk	ligand	MSigDB	,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,
Bambi	inhibitor,SMAD2.3.4,ligand,target gene	MSigDB	,REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,,GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,
Nedd4l	ligand	MSigDB	,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
Men1	ligand,target gene,tgfb activation	MSigDB	,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,GOBP_POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS
Pard3	target gene,ligand	MSigDB	,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
Ccnt2	ligand	MSigDB	,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
Parp1	ligand,target gene	MSigDB	,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA
Itga8	SMAD2.3.4,ligand,target gene,tgfb activation	MSigDB	,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,GOBP_POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS
Fbn1	SMAD2.3.4,ligand,inhibitor,target gene	MSigDB	,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,
E2f5	ligand	MSigDB	,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
Rbl1	ligand	MSigDB	,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
Wwtr1	ligand,target gene,suppressed	MSigDB	,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,KARLSSON_TGFB1_TARGETS_DN,
Ccnc	ligand	MSigDB	,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
Hdac1	ligand,inhibitor,target gene	MSigDB	,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,
Ski	ligand,inhibitor,target gene	MSigDB	,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,,GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,
Prkcz	target gene,ligand	MSigDB	,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
Ncor2	ligand	MSigDB	,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,
Cdk8	ligand	MSigDB	,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
Strap	inhibitor,SMAD2.3.4,ligand,target gene	MSigDB	,REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,
Furin	SMAD2.3.4,ligand,inhibitor,tgfb activation,target gene	MSigDB	,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,,GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA1_PRODUCTION,GOBP_POSITIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA1_PRODUCTION,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION,GOBP_POSITIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION,GOBP_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_ACTIVATION,GOBP_POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS,
Usp9x	ligand,target gene	MSigDB	,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA
Rnf111	ligand,target gene,tgfb activation	MSigDB	,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,GOBP_POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS
Fkbp1a	SMAD2.3.4,ligand,coreceptor	MSigDB	,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,GOMF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_BINDING,GOMF_TYPE_I_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_BINDING,
Zfyve9	SMAD2.3.4,ligand,target gene	MSigDB	,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,
F11r	target gene,ligand,suppressed	MSigDB	,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,KARLSSON_TGFB1_TARGETS_DN
Pmepa1	inhibitor,SMAD2.3.4,ligand,target gene,activated	MSigDB	,REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,KARLSSON_TGFB1_TARGETS_UP,PLASARI_TGFB1_TARGETS_10HR_UP,GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,
Tfdp1	ligand	MSigDB	,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
Smurf1	target gene,ligand,inhibitor	MSigDB	,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,
Stub1	inhibitor,SMAD2.3.4,ligand,target gene	MSigDB	,REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,
Tgif1	ligand	MSigDB	,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,,
Tgif2	ligand	MSigDB	,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
Mapk1	ligand	MSigDB	,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,
Gm11808	inhibitor,SMAD2.3.4,target gene,ligand	MSigDB	,REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
Cgn	target gene,ligand	MSigDB	,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
Ube2d3	ligand	MSigDB	,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,
Uba52	inhibitor,SMAD2.3.4,target gene,ligand	MSigDB	,REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
Fstl3	ligand,target gene,activated	MSigDB	REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,PLASARI_TGFB1_TARGETS_10HR_UP
Zfyve16	ligand	MSigDB	REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
Fst	ligand,target gene,activated	MSigDB	REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,PLASARI_TGFB1_TARGETS_10HR_UP
Bmpr1a	ligand,tgfb activation	MSigDB	REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,GOBP_TRANSFORMING_GROWTH_FACTOR_BETA2_PRODUCTION,GOBP_POSITIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION,,
Fstl1	ligand	MSigDB	REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
Amhr2	ligand,target gene	MSigDB	REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,
Bmp2	ligand,inhibitor,target gene	MSigDB	REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,
Smad9	ligand,target gene	MSigDB	REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA
Bmp10	ligand	MSigDB	REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
Chrdl1	ligand,coreceptor	MSigDB	REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,GOMF_TRANSFORMING_GROWTH_FACTOR_BETA_BINDING
